wav_filename,wav_filesize,transcript
gf1_01_073.wav,148652,alitalia three zero one contact milano one two five decimal eight five good bye
gf1_01_083.wav,111788,viva nine zero eight one resume own navigation to willisau
gf1_01_211.wav,193580,break alitalia three seven zero report mach number
gf1_01_141.wav,110636,ukay six two five milano on one two five eight five good bye
gf1_01_217.wav,270764,iberia three four seven three bonjour identified climb to flight level ah three three zero st prex passe ah passeiry tour du pin
gf1_01_038.wav,100268,cross air five one two descend to flight level two eight zero
gf1_01_063.wav,97964,and topswiss four five seven eight own navigation tour du pin
gf1_01_152.wav,111788,jose four one two five bonjour descend to flight level two seven zero
gf1_01_238.wav,26540,merci
gf1_01_013.wav,192428,cross air six eight zero bonjour identified cleared ah passeiry bilsa climb to flight level two nine zero
gf1_01_164.wav,121004,l t u seven seven five six climb to flight level three five zero
gf1_01_048.wav,70316,roger and re report your heading
gf1_01_060.wav,243116,europa three eight one ah bonjour identified cleared kines st prex willisau flight level three four zero
gf1_01_024.wav,175148,topswiss four five seven eight turn left two zero degrees
gf1_01_185.wav,168236,alitalia three seven zer three seven zero bonjour squawk five seven four zero
gf1_01_037.wav,160172,transavia three two five six contact ah reims one three four decimal four good bye
gf1_01_061.wav,220076,foxtrot golf india foxtrot lima bonjour identified cleared ah passeiry torino flight level three one zero
gf1_01_004.wav,167084,bonjour luxair five five one identified cleared passeiry torino flight level three three zero
gf1_01_118.wav,73772,roger turn right heading zero two zero
gf1_01_219.wav,103724,alitalia three one seven milano one two five eight five good bye
gf1_01_028.wav,193580,bonjour viva nine zero eight one identified cleared ah kines st prex willisau flight level three four zero
gf1_01_088.wav,137132,lufthansa eight two six eight continue present heading climb to flight level three six zero
gf1_01_015.wav,148652,bonjour alitalia three zero one identified cleared passeiry torino flight level three three zero
gf1_01_213.wav,139436,speedbird eight three papa xray reims one three two two seven good bye
gf1_01_114.wav,132524,ascot nine three one nine contact now reims one three two two seven good bye
gf1_01_197.wav,94508,transwede one zero seven set course direct to bilsa
gf1_01_138.wav,213164,bonjour l t u seven seven five six call you back break air portugal four one one three climb to flight level three six zero
gf1_01_222.wav,96812,luxair two six six three climb to flight level three three zero
gf1_01_089.wav,119852,ascot nine three one nine set course direct to rolampont
gf1_01_021.wav,171692,alitalia three zero zero identified aosta st prex dijon climb to flight level three zero zero
gf1_01_092.wav,160172,air portugal ah four one one three report level
gf1_01_070.wav,232748,viva nine zero eight one turn further left heading ah s heading three four zero
gf1_01_050.wav,182060,alitalia two three four identified cleared aosta st prex rolampont climb to flight level three zero zero
gf1_01_113.wav,96812,alitalia two three four reims one three two two seven good bye
gf1_01_056.wav,94508,alitalia three zero one descend to flight level two seven zero
gf1_01_071.wav,131372,aero lloyd ah five one seven climb to flight level three three zero
gf1_01_053.wav,145196,alitalia two zero one contact milano one two five decimal eight five good bye
gf1_01_234.wav,100268,alitalia three seven zero reims one three three eight two good bye
gf1_01_225.wav,91052,sunwing five two zero three report position
sm2_06_075.wav,109484,adria one six two seven is identified
gf1_01_158.wav,43820,and report your position
gf1_01_086.wav,138284,bonjour i'll call you back break aero lloyd five one seven descend to flight level three two zero
sm2_06_076.wav,162476,belgian airforce one four four non r v s m identified
sm2_06_022.wav,86444,speedbird one two nine is identified
sm2_06_114.wav,100268,alitalia two nine one turn right to trasadingen
sm2_06_054.wav,154412,lufthansa five two three six likewise rhein radar one two seven decimal three seven
sm2_06_021.wav,182060,lufthansa four thousand seven hundred is identified climb flight level two nine zero
sm2_06_065.wav,238508,delta india mike mike echo is identified fly heading one seven zero climb flight level two seven zero
sm2_06_208.wav,125612,sunwing five two one two contact zurich one three four six
sm2_06_029.wav,203948,lufthansa five two three six is identified proceed direct to november tango mike
sm2_06_006.wav,117548,swissair nine three six zero turn right direct to gotil
sm2_06_171.wav,85292,alitalia four six nine is identified
sm2_06_166.wav,84140,is algerie two zero seven three on frequency
sm2_06_061.wav,176300,alitalia six four seven four contact rhein radar one two seven decimal three seven
sm2_06_008.wav,49580,tango india lima
sm2_06_018.wav,99116,and negative that was for swissair eight zero six
sm2_06_214.wav,108332,lufthansa four five eight two climb to flight level three hundred
sm2_06_082.wav,210860,ah tarom three seven four for separation turn left heading one zero five
sm2_06_134.wav,64556,ah okay
sm2_06_176.wav,109484,lufthansa four two one nine turn left to delta kilo bravo
sm2_06_120.wav,135980,merair six nine five two contact zurich one three four decimal six
sm2_06_194.wav,200492,lufthansa three five zero eight climb now flight level two nine zero
sm2_06_168.wav,150956,merair six nine four four contact now zurich one three four decimal six
sm2_06_106.wav,74924,malaysian four is in radar contact
sm2_06_088.wav,175148,alitalia two nine one turn right heading one four five
sm2_06_020.wav,79532,alitalia six four seven four is identified
sm2_06_140.wav,185516,alitalia two nine one contact zurich radar one three four decimal six
sm2_06_135.wav,177452,okay we have to do it a little faster lufthansa five two one seven contact rhein radar one three two decimal four
sm2_06_041.wav,130220,hapag lloyd one one two contact rhein radar one two seven decimal three seven
sm2_06_043.wav,86444,lufthansa four two zero nine is identified
sm2_06_108.wav,127916,cross air eight five eight contact rhein one two seven decimal three seven
sm2_06_142.wav,215468,swissair nine three five nine descend to flight level three four zero expedite descent
sm2_06_092.wav,139436,roger break delta mike echo fly heading one nine zero
sm2_06_086.wav,150956,alitalia two nine one is identified report your mach number
sm2_06_190.wav,127916,negative lufthansa three five zero eight heading one nine five
sm2_06_156.wav,99116,delta november alfa fly heading one nine five
sm2_06_026.wav,110636,k l m three four six turn left ten degrees heading three four five
sm2_06_121.wav,87596,alitalia one three five is identified
sm2_06_129.wav,107180,alitalia three six nine is identified good afternoon
sm2_06_044.wav,85292,bee med one is identified good afternoon
sm2_06_073.wav,178604,bee med one contact rhein radar one three two decimal four
sm2_06_068.wav,81836,affirm lufthansa four two zero nine
sm2_06_113.wav,31148,thank you
sm2_06_119.wav,212012,delta charlie india november alfa is identified fly heading one seven zero climb flight level two seven zero
sm2_06_173.wav,95660,lufthansa three three three zero is identified
sm2_06_097.wav,150956,adria one six two seven contact rhein radar one three two decimal four
sm2_06_057.wav,160172,lufthansa three five five zero continue climb to flight level two nine zero
sm2_06_149.wav,108332,yes eight eight four to frequency one three two decimal four please
sm2_06_005.wav,85292,swissair nine three six zero is identified
sm2_06_124.wav,57644,roger fly heading two hundred
sm2_06_187.wav,159020,lufthansa triple three zero climb to flight level two seven zero
sm2_06_049.wav,180908,saudia one zero six contact rhein radar one three two decimal four
sm2_06_209.wav,118700,sunwing five two one four zurich one three three four
sm2_06_159.wav,80684,alitalia one three five report your mach number
sm2_06_042.wav,86444,golf juliett india turn right to herbi
sm2_06_058.wav,101420,lufthansa five five zero four good afternoon identified
sm2_06_060.wav,69164,sabena eight three six identified
sm2_06_193.wav,149804,alitalia three six nine i need a rate of descent of two thousand feet per minute or more
sm2_06_025.wav,99116,k l m three four six is identified report your heading
sm2_06_007.wav,216620,yes and then you have the possibility to enter into the computer gotil golf oscar tango india lima i think
sm2_06_201.wav,199340,lufthansa three five zero eight continue climb to flight level three hundred
sm2_06_105.wav,69164,nato one zero is identified
sm2_06_127.wav,129068,alitalia one five zero i say again turn left to november tango mike
sm2_06_139.wav,89900,tunair four eight zero two is identified
sm2_06_143.wav,102572,and nine three five nine as i said expedite descent
sm2_06_181.wav,162476,alitalia three six nine descend now to flight level two nine zero expedite descent
sm2_06_001.wav,115244,lufthansa four four zero eight call zurich one three four decimal six
sm2_06_186.wav,72620,that is lufthansa four five eight two
sm2_06_019.wav,155564,swissair nine three six zero climb now to flight level three two zero
sm2_06_010.wav,127916,tarom three seven two contact rhein radar one three two decimal four
sm2_06_053.wav,137132,k l m three four six contact rhein radar one two seven decimal three seven
sm2_06_180.wav,71468,no it is hotel oscar charlie
sm2_06_100.wav,112940,merair six nine four four is identified
sm2_06_162.wav,96812,delta echo charlie turn left to delta kilo bravo
sm2_06_116.wav,150956,aerovic one zero six one maintain your speed decimal seven five or less
sm2_06_101.wav,159020,tarom three seven four is clear of traffic turn now right to tango golf oscar
sm2_06_155.wav,125612,gulf air five contact rhein radar one two seven decimal three seven
sm2_06_198.wav,117548,delta echo charlie descend to flight level three four zero
sm2_06_196.wav,125612,lufthansa three five zero eight climb to flight level two nine zero
sm2_06_111.wav,119852,merair six nine four four climb to flight level three hundred
sm2_06_059.wav,108332,lufthansa four two zero nine turn left to delta kilo bravo
sm2_06_110.wav,94508,lufthansa five two one seven turn left to dinkelsbuhl
sm2_06_154.wav,190124,transavia three zero six three you have been sent to wrong frequency contact rhein one three two decimal four
sm2_06_184.wav,150956,aero lloyd five six two climb flight level three zero zero
sm2_06_179.wav,266156,aero lloyd five six two proceed to hotel oscar charlie afterwards st prex flight planned route
sm2_06_185.wav,165932,lufthansa four five eight two is identified climb to flight level two nine zero
sm2_06_051.wav,96812,hotel bravo india tango romeo is identified good afternoon
sm2_06_035.wav,134828,lufthansa three five six six contact zurich one three four decimal six
sm2_06_071.wav,162476,lufthansa four two zero nine continue descent to flight level two seven zero
sm2_06_023.wav,77228,lufthansa four two zero seven identified
sm2_06_064.wav,114092,lufthansa four two zero nine descend to flight level three four zero
sm2_06_040.wav,149804,sabena eight three zero contact rhein radar one two seven decimal three seven
sm2_06_093.wav,145196,sabena eight three six contact rhein radar one two seven decimal three seven
sm2_06_089.wav,141740,merair six nine five two climb to flight level three hundred
sm2_06_034.wav,122156,lufthansa four two zero seven descend to flight level three three zero
sm2_06_045.wav,247724,lufthansa three five five zero is identified proceed direct trasadingen climb flight level two five zero
sm2_06_032.wav,160172,britannia three two seven alfa contact rhein radar one three two decimal four
sm2_06_138.wav,148652,belgian airforce one four four rhein radar one two seven decimal three seven
sm2_06_112.wav,156716,ah belgian airforce one four four report new heading
sm2_06_030.wav,123308,lufthansa four two zero seven turn left to dinkelsbuhl
sm2_06_062.wav,107180,golf juliett india contact zurich one three three decimal four
sm2_06_141.wav,153260,aerovic one zero six one same frequency zurich one three four decimal six
sm2_06_104.wav,125612,tarom three seven four contact now rhein radar one three two decimal four
sm2_06_077.wav,119852,tarom three seven four is in radar contact
sm2_06_098.wav,104876,swissair nine three five nine is identified good afternoon
sm2_06_024.wav,145196,swissair nine three six zero now contact rhein one two seven decimal three seven
sm2_06_202.wav,69164,aero lloyd five six two report your heading
sm2_06_046.wav,147500,lufthansa four thousand seven hundred contact zurich one three four decimal six
sm2_06_118.wav,61100,gulf air five is identified
sm2_06_174.wav,94508,i'll call you back for higher triple three zero
sm2_06_099.wav,77228,lufthansa five two one seven is identified
sm2_06_133.wav,48428,lufthansa five two o
sm2_06_002.wav,76076,tarom three seven two turn right to kempten
sm2_06_147.wav,85292,nato one zero disregard
sm2_06_130.wav,108332,sunwing five two one four is identified
sm2_06_216.wav,34604,thank you
sm2_06_031.wav,38060,affirm
sm2_06_158.wav,78380,merair six nine disregard
sm2_06_137.wav,141740,alitalia one five zero contact rhein radar one two seven decimal three seven
sm2_06_178.wav,141740,algerie two zero seven three continue climb to flight level three zero zero
sm2_06_144.wav,140588,swissair nine three five nine contact rhein radar one three two decimal four
sm2_06_212.wav,96812,delta november alfa proceed own navigation to trasadingen
sm2_06_204.wav,162476,ah lufthansa triple three zero climb to flight level three zero zero
sm2_01_183.wav,197036,three five zero eight is identified climb flight level two f seven zero
sm2_01_041.wav,138284,swissair eight zero six is identified continue climb to flight level three one zero
sm2_01_203.wav,34604,ah thank you very much
sm2_01_037.wav,147500,good afternoon air berlin five two five five identified you're cleared direct to frankfurt
sm2_01_140.wav,197036,merair six nine four four is identified you're cleared to tango romeo alfa to climb flight level two seven zero
sm2_01_076.wav,157868,golf bravo victor juliett india good afternoon identified
sm2_01_147.wav,233900,swissair nine three five nine descend now flight level three three zero descend at two thousand feet per minute or more
sm2_01_056.wav,109484,lufthansa three six zero four you're cleared now direct to trasadingen
sm2_01_123.wav,157868,lufthansa five five zero four climb now to flight level three three zero
sm2_01_014.wav,64556,emirates two is identified
sm2_01_182.wav,259244,algerie two zero seven three turn right direct to hotel oscar charlie afterwards proceed to st prex flight planned route
sm2_01_097.wav,92204,lufthansa five five zero four i'll call you back
sm2_01_170.wav,87596,delta india bravo echo charlie is identified
sm2_01_149.wav,115244,roger delta november alfa maintain heading after passing neckar
sm2_01_103.wav,114092,golf juliett india contact zurich radar one three three decimal four
sm2_01_143.wav,106028,alitalia two nine one turn right to trasadingen
sm2_01_073.wav,191276,lufthansa four two zero seven is in radar contact good afternoon
sm2_01_113.wav,146348,ah delta mike mike echo continue climb to flight level two nine zero
sm2_01_055.wav,148652,airals one zero eight eight contact rhein radar one two seven decimal three seven
sm2_01_047.wav,39212,no problem
sm2_01_092.wav,93356,ah lufthansa four two zero nine is identified
sm2_01_158.wav,122156,scandinavian six one seven contact zurich radar one three four decimal six
sm2_01_208.wav,153260,delta november alfa fly heading one eight five
sm2_01_105.wav,134828,lufthansa four two zero nine contact rhein radar one three two decimal four
sm2_01_186.wav,149804,ah delta echo charlie i'm not sure whether you got it you proceed to dinkelsbuhl
sm2_01_011.wav,162476,ah speedway two zero eight is identified however contact rhein one three two decimal four
sm2_01_048.wav,256940,lufthansa three five six six is identified you're cleared direct to trasadingen to continue climb flight level two seven zero
sm2_01_102.wav,91052,scandinavian six one seven is identified
sm2_01_028.wav,176300,l t u one two eight zero contact now zurich one three four decimal six you may expect higher
sm2_01_124.wav,117548,good afternoon tarom three seven four identified
sm2_01_079.wav,112940,lufthansa four two zero seven turn now left to delta kilo bravo
sm2_01_010.wav,170540,ah speedway two zero eight confirm you position still north of frankfurt
sm2_01_211.wav,254636,delta echo charlie descend now flight level two nine zero descend at good rate
sm2_01_109.wav,134828,sabena eight three six contact rhein radar one two seven decimal three seven
sm2_01_187.wav,135980,roger delta echo charlie descend to flight level three seven zero
sm2_01_008.wav,193580,l t u one two eight zero is identified you're cleared direct to trasadingen climb flight level two nine zero
sm2_01_156.wav,186668,meridiana six nine five two contact zurich ah he is gone already
sm2_01_130.wav,137132,nato one zero is identified
sm2_01_174.wav,106028,yeah that's okay i just need a thousand feet a minute
sm2_01_018.wav,184364,delta echo bravo turn left heading one seven zero
sm2_01_045.wav,86444,affirm to gotil intersection
sm2_01_161.wav,103724,malaysian four contact rhein one two seven decimal three seven
sm2_01_126.wav,187820,cross air eight five eight resume now own navigation to november tango mike
sm2_01_204.wav,133676,tunair four eight zero two contact rhein one two seven decimal three seven
sm2_01_026.wav,156716,airals one zero eight eight is identified you're cleared direct to fox fox mike
sm2_01_137.wav,104876,adria one six two seven contact rhein one three two decimal four
sm2_01_030.wav,33452,good bye
sm2_01_075.wav,198188,lufthansa five two three six continue now with rhein one two seven decimal three seven good bye
sm2_01_207.wav,161324,alitalia three six nine contact zurich one three four decimal six
sm2_01_054.wav,109484,tarom three seven two continue with rhein one three two decimal four
sm2_01_080.wav,129068,speedbird one two nine contact rhein radar one three two decimal four
sm2_01_034.wav,146348,lufthansa four four zero eight continue climb to flight level two nine zero
sm2_01_117.wav,38060,thank you
sm2_01_122.wav,276524,scandinavian six one seven descend to flight level two nine zero descend at one thousand five hundred feet per minute or more
sm2_01_210.wav,134828,aero lloyd five six two turn right to hochwald afterwards to st prex flight planned route
sm2_01_129.wav,140588,britannia three zero six alfa is identified good afternoon
sm2_01_128.wav,134828,sabena three zero two likewise rhein one two seven decimal three seven
sm2_01_165.wav,186668,swissair s nine three five nine contact rhein radar one three two decimal four
sm2_01_155.wav,65708,sunwing five two one two is identified
sm2_01_220.wav,80684,alitalia four six nine report your heading
sm2_01_133.wav,183212,delta mike echo turn right heading one eight five
sm2_01_090.wav,100268,golf juliett india turn right to trasadingen
sm2_01_036.wav,138284,that is correct delta echo bravo contact zurich one three four decimal six good bye
sm2_01_120.wav,108332,bee med one contact rhein one three two decimal four
sm2_01_058.wav,41516,thank you
sm2_01_062.wav,132524,swissair nine three six zero continue climb flight level three one zero
sm2_01_104.wav,137132,sabena three zero two identified good afternoon
sm2_01_068.wav,93356,britannia three two seven alfa turn right to kempten
sm2_01_020.wav,77228,l t u one two eight zero report your heading
sm2_01_019.wav,152108,britannia zero nine six alfa contact zurich one three three decimal four
sm2_01_006.wav,176300,europa seven four four contact now zurich ahm one three four decimal six good bye
sm2_01_197.wav,134828,algerie two zero seven three climb flight level two eight zero
sm2_01_084.wav,148652,lufthansa four thousand seven hundred contact zurich one three four decimal six good bye
sm2_01_107.wav,24236,affirm
sm2_01_139.wav,149804,gulf air five is in radar contact
sm2_01_153.wav,111788,alitalia one three five descend to flight level two nine zero
sm2_01_009.wav,131372,lufthansa four three nine zero continue climb to flight level three one zero
sm2_01_002.wav,109484,europa seven four four is identified
sm2_01_116.wav,188972,ah lufthansa five five zero four turn right ten degrees report new heading
sm2_01_201.wav,141740,scandinavian six eight seven can you increase the speed by two zero knots
sm2_01_033.wav,164780,delta echo bravo continue climb to flight level two nine zero
sm2_01_168.wav,125612,egyptair eight eight four contact rhein radar one three two decimal four
sm2_01_189.wav,35756,delta
sm2_01_032.wav,109484,sobelair two five two one climb flight level three three zero
sm2_01_001.wav,28844,that's okay
sm2_01_061.wav,138284,alitalia six four seven four is identified
sm2_01_142.wav,150956,lufthansa five two one seven is identified proceed to dinkelsbuhl delta kilo bravo
sm2_01_213.wav,125612,delta echo charlie contact rhein radar one three two decimal four
sm2_01_065.wav,281132,lufthansa four seven zero zero good afternoon climb flight level two seven zero initially
sm2_01_098.wav,102572,lufthansa three five five zero is cleared to trasadingen
sm2_01_144.wav,123308,tarom three seven four contact rhein radar one three two decimal four
sm2_01_077.wav,119852,lufthansa three six zero four contact zurich one three four decimal six
sm2_01_051.wav,206252,lufthansa three six zero four is identified climb to flight level two nine zero
sm2_01_003.wav,92204,britannia zero nine six alfa is identified
sm2_01_135.wav,117548,lufthansa five five zero four contact zurich one three four decimal six
sm2_01_052.wav,130220,lufthansa three five six six continue climb to flight level two nine zero
sm2_01_196.wav,140588,delta echo charlie continue descent to flight level three five zero
sm2_01_160.wav,110636,alitalia three six nine is identified
sm2_01_212.wav,114092,lufthansa four five eight two climb to flight level two nine zero
sm2_01_091.wav,94508,lufthansa four two zero seven rhein
sm2_01_179.wav,115244,alitalia three six nine turn now right direct to tango romeo alfa
sm2_01_171.wav,54188,ah calling rhein last say again
sm2_01_012.wav,108332,lufthansa four three nine zero expedite your climb please
sm2_01_085.wav,259244,lufthansa three five five zero is identified continue climb to flight level two five zero initially
sm2_01_067.wav,153260,speedbird one two nine is identified
sm2_01_024.wav,124460,emirates two contact rhein one three two decimal four good bye
sm2_01_110.wav,93356,delta mike mike echo report present heading
sm2_01_069.wav,188972,lufthansa four seven zero zero turn right direct to trasadingen continue climb to flight level two nine zero
sm2_01_127.wav,137132,affirm cross air eight five eight contact rhein radar one two seven decimal three seven
sm2_01_059.wav,125612,swissair nine three six zero climb flight level two nine zero
sm2_01_177.wav,259244,aero lloyd five six two is identified climb to flight level two nine zero proceed direct to trasadingen
sm2_01_114.wav,131372,lufthansa three five five zero contact zurich one three four decimal six
sm2_01_015.wav,202796,lufthansa four three nine zero continue climb now to flight level three three zero and still expeditious climb please
sm2_01_064.wav,208556,swissair nine three six zero contact rhein one two seven decimal three seven good bye
sm2_01_200.wav,155564,lufthansa triple three zero climb to flight level two nine zero
sm2_01_100.wav,186668,delta india mike mike echo is identified climb initially to flight level two seven zero
sm2_01_175.wav,131372,merair six nine four four contact zurich one three four decimal six
sm2_01_164.wav,104876,merair six nine four four climb to flight level two nine zero
sm2_01_151.wav,146348,tunair four eight zero two is identified
sm2_01_206.wav,139436,algerie two zero seven three climb expeditiously flight level three three zero
sm2_01_007.wav,118700,britannia zero nine six alfa turn right direct to trasadingen
sm2_01_063.wav,230444,swissair eight zero six maintain rate of climb one thousand four hundred feet per minute or more continue with rhein one twenty seven thirty seven
sm2_01_172.wav,243116,six nine five two you should have contacted zurich already one three four decimal six
sm2_01_145.wav,100268,egyptair eight eight four is identified
sm2_01_178.wav,235052,lufthansa four two one nine is identified proceed direct to delta kilo bravo
sm2_01_099.wav,139436,hotel bravo india tango romeo contact rhein radar one two seven decimal three seven
sm2_01_082.wav,117548,hapag lloyd one one two contact rhein radar one two seven decimal three seven
sm2_01_217.wav,38060,ah disregard
sm2_01_121.wav,82988,no bee med one the london airtours
sm2_02_134.wav,102572,malaysian four contact rhein one two seven decimal three seven
sm2_02_045.wav,169388,lufthansa four thousand seven hundred expect higher with zurich in ah four to five minutes
sm2_01_199.wav,212012,lufthansa four five eight two is identified climb to flight level two seven zero
sm2_02_086.wav,112940,merair six nine five two is identified i'll call you back for higher soon
sm2_01_049.wav,149804,hapag lloyd one one two good afternoon you're identified you're cleared direct to frankfurt
sm2_02_042.wav,29996,disregard
sm2_02_111.wav,117548,merair six nine five two climb flight level two nine zero maintain your heading
sm2_02_104.wav,21932,say again
sm2_02_006.wav,23084,bye bye
sm2_02_103.wav,26540,belgian air
sm2_02_029.wav,101420,k l m three four six turn left heading three five zero
sm2_02_011.wav,110636,good morning swissair nine three six zero identified
sm2_02_105.wav,106028,britannia three zero six alfa is identified good morning
sm2_02_113.wav,17324,yeah
sm2_02_074.wav,162476,golf bravo victor juliett india contact zurich one three three decimal four
sm2_02_040.wav,119852,k l m three four six maintain heading climb flight level three two zero
sm2_02_129.wav,140588,meridiana six nine five two contact zurich one three four decimal six
sm2_02_078.wav,48428,who's calling rhein please
sm2_02_115.wav,252332,lufthansa five two one seven is identified you're ah maintain heading towards kilo romeo hotel
sm2_02_026.wav,130220,expect higher with zurich in ah four minutes
sm2_02_068.wav,124460,lufthansa three five five zero proceed direct to trasadingen
sm2_02_080.wav,84140,cross air eight five eight is identified good morning
sm2_02_070.wav,149804,saudia one zero six contact rhein radar one three two decimal four
sm2_02_012.wav,79532,sabena eight three zero is identified good morning
sm2_02_090.wav,122156,adria one six two seven is identified
sm2_02_121.wav,114092,alitalia two nine one turn right to ah trasadingen
sm2_02_062.wav,135980,hotel bravo india tango romeo is identified expect higher in a minute i'll call you back
sm2_02_085.wav,68012,tarom three seven four is identified
sm2_02_050.wav,132524,lufthansa five two three six rhein radar one two seven decimal three seven
sm2_02_112.wav,117548,aerovic one zero six one continue descent to flight level two seven zero
sm2_02_036.wav,127916,speedbird one two nine is identified
sm2_02_120.wav,88748,steel eighty eight is identified
sm2_02_114.wav,88748,swissair nine three five nine good morning identified
sm2_02_118.wav,109484,merair six nine five two fly heading one eight zero zero
sm2_02_047.wav,141740,lufthansa four two zero seven contact rhein one three two decimal four
sm2_02_107.wav,130220,lufthansa five five zero four contact zurich one three four decimal six
sm2_02_126.wav,84140,nato one zero turn right heading three four zero
sm2_02_056.wav,123308,lufthansa four seven zero zero contact zurich one three four decimal six
sm2_02_034.wav,146348,sabena eight three zero contact rhein one two seven decimal three seven
sm2_02_051.wav,194732,lufthansa four thousand seven hundred turn right to hochwald afterwards proceed to st prex flight planned route
sm2_02_082.wav,94508,bee med one rhein radar one three two decimal four good bye
sm2_02_122.wav,179756,delta charlie india november alfa is identified climb to flight level two nine zero
sm2_02_015.wav,107180,swissair eight zero six climb flight level three four zero
sm2_02_018.wav,119852,tarom three seven two contact rhein one three two decimal four
sm2_02_002.wav,47276,how do you read me now
sm2_02_140.wav,154412,britannia three zero six alfa contact rhein one three two decimal four
sm2_02_088.wav,200492,alitalia two nine one is identified break delta mike echo climb flight level two nine zero
sm2_02_027.wav,159020,k l m three four six stand by a second
sm2_02_035.wav,152108,lufthansa three five six six contact zurich one three four decimal six
sm2_02_010.wav,155564,lufthansa three five six six good morning identified climb to flight level two nine zero
sm2_02_131.wav,91052,sunwing five two one two is identified good morning
