client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
xxx-id	gf1_01_122	<FL> </FL> 						en	
xxx-id	gf1_01_163	air inter sierra oscar set course direct to kamas 						en	
xxx-id	gf1_01_005	lufthansa four seven two three resume own navigation to willisau 						en	
xxx-id	gf1_01_128	airfrans six seven three climb to flight level three six zero 						en	
xxx-id	gf1_01_082	<FL> </FL> 						en	
xxx-id	gf1_01_207	call you back for higher 						en	
xxx-id	gf1_01_052	speedbird five eight zero contact milano one two five eight five good bye 						en	
xxx-id	gf1_01_096	sabena nine seven zero contact reims one three four decimal four good bye 						en	
xxx-id	gf1_01_192	<FL> </FL> 						en	
xxx-id	gf1_01_161	transwede one oh seven ah bonjour identified cleared passeiry bilsa flight level three three zero 						en	
xxx-id	gf1_01_139	and ~l ~t ~u seven seven five six ah identified cleared ah st prex and then bilsa confirm flight level two nine zero 						en	
xxx-id	gf1_01_137	europa three eight one zurich one two five eight five good bye 						en	
xxx-id	gf1_01_237	[EMPTY] 						en	
xxx-id	gf1_01_202	<FL> </FL> 						en	
xxx-id	gf1_01_214	[EMPTY] 						en	
xxx-id	gf1_01_112	alitalia two three four climb to flight level three two zero 						en	
xxx-id	gf1_01_077	hamburg air two five four six bonjour identified cleared passeiry tour du pin flight level three one zero 						en	
xxx-id	gf1_01_145	alitalia two six two set course direct to rolampont 						en	
xxx-id	gf1_01_079	aero lloyd five one seven turn right to willisau 						en	
xxx-id	gf1_01_017	lufthansa four seven two three contact zurich on one three four decimal six good bye 						en	
xxx-id	gf1_01_068	aero lloyd five six zero bonjour identified cleared passeiry bilsa flight level three three zero 						en	
xxx-id	gf1_01_042	<FL> </FL> 						en	
xxx-id	gf1_01_078	<FL> </FL> 						en	
xxx-id	gf1_01_025	luxair five five one resume own navigation direct torino 						en	
xxx-id	gf1_01_173	<FL> </FL> 						en	
xxx-id	gf1_01_020	aero lloyd five one seven bonjour identified cleared kines st prex willisau flight level three two zero 						en	
xxx-id	gf1_01_132	aero lloyd five six zero marseille one two five eight five good bye 						en	
xxx-id	gf1_01_190	<FL> </FL> 						en	
xxx-id	gf1_01_066	ascot nine three one nine bonjour squawk five seven three three 						en	
xxx-id	gf1_01_051	cross air five one two contact ah geneva one two five decimal eight five good bye 						en	
xxx-id	gf1_01_227	<FL> </FL> 						en	
xxx-id	gf1_01_203	<FL> </FL> 						en	
xxx-id	gf1_01_191	<FL> </FL> 						en	
xxx-id	gf1_01_058	swissair so= six seven five two bonjour identified climb to flight level ah two nine zero and ah passeiry kines 						en	
xxx-id	gf1_01_176	sunwing ah five two zero three bonjour identified cleared kines st prex willisau flight level three four zero 						en	
xxx-id	gf1_01_223	and direct to la tour du pin 						en	
xxx-id	gf1_01_093	[EMPTY] 						en	
xxx-id	gf1_01_064	viva nine zero eight one turn left heading three five zero 						en	
xxx-id	gf1_01_228	<FL> </FL> 						en	
xxx-id	gf1_01_168	hapag lloyd six five three contact marseille one two five eight five good bye 						en	
xxx-id	gf1_01_108	<FL> </FL> 						en	
xxx-id	gf1_01_029	sabena nine seven zero bonjour identified stop climb flight level three two zero 						en	
xxx-id	gf1_01_218	lufthansa four six five two geneva one two eight one five good bye 						en	
xxx-id	gf1_01_009	<FL> </FL> 						en	
xxx-id	gf1_01_188	november one four five whiskey climb to flight level three eight zero 						en	
xxx-id	gf1_01_121	hapag lloyd one seven one set course direct to bilsa 						en	
xxx-id	gf1_01_130	europa three eight one descend to flight level three two zero 						en	
xxx-id	gf1_01_014	alitalia three zero zero bonjour i'll call you back 						en	
xxx-id	gf1_01_090	bonjour hapag lloyd ah one seven one identified passeiry bilsa flight level two nine zero 						en	
xxx-id	gf1_01_084	[EMPTY] 						en	
xxx-id	gf1_01_142	ah air inter sierra kilo climb to flight level ah three zero zero 						en	
xxx-id	gf1_01_099	saudia one five five contact ah reims one three three eight two good bye 						en	
xxx-id	gf1_01_125	<FL> </FL> 						en	
xxx-id	gf1_01_104	<FL> </FL> 						en	
xxx-id	gf1_01_069	<FL> </FL> 						en	
xxx-id	gf1_01_187	<FL> </FL> 						en	
xxx-id	gf1_01_087	cross air two six nine zero identified climb to flight level two seven zero passeiry tour du pin 						en	
xxx-id	gf1_01_049	roger continue present heading 						en	
xxx-id	gf1_01_140	affirm 						en	
xxx-id	gf1_01_135	alitalia two six two climb to flight level three two zero 						en	
xxx-id	gf1_01_165	alitalia three one seven bonjour identified passeiry torino flight level ah two nine zero 						en	
xxx-id	gf1_01_186	<FL> </FL> 						en	
xxx-id	gf1_01_127	roger turn left heading two two zero 						en	
xxx-id	gf1_01_216	lufthansa four six five two climb to flight level three five zero 						en	
xxx-id	gf1_01_189	lufthansa four six five two bonjour identified cleared passeiry tour du pin flight level three one zero 						en	
xxx-id	gf1_01_075	alitalia three zero zero climb to flight level three two zero 						en	
xxx-id	gf1_01_111	alitalia two six two identified cleared aosta st prex rolampont flight level three zero zero call you back for higher 						en	
xxx-id	gf1_01_198	november one four five whiskey do a good rate of climb until passing flight level three five zero please 						en	
xxx-id	gf1_01_136	europa three eight one descend to flight level two eight zero 						en	
xxx-id	gf1_01_105	<FL> </FL> 						en	
xxx-id	gf1_01_100	lufthansa eight two six eight contact geneva one two eight one five good bye 						en	
xxx-id	gf1_01_031	speedbird five eight zero descend to flight level two one zero 						en	
xxx-id	gf1_01_065	sabena nine seven zero climb to flight level three four zero 						en	
xxx-id	gf1_01_230	<FL> </FL> 						en	
xxx-id	gf1_01_044	sabena nine seven zero set course direct to arbos 						en	
xxx-id	gf1_01_162	sabena nine five nine bonjour identified passeiry tour du pin flight level three one zero 						en	
xxx-id	gf1_01_116	aero lloyd confirm europa europa three six one bonjour identified cleared kines st prex willisau flight level three four zero 						en	
xxx-id	gf1_01_233	bonjour centennial one five seven identified st prex willisau flight level three two zero 						en	
xxx-id	gf1_01_102	viva nine zero eight one contact zurich one three four decimal six good bye 						en	
xxx-id	gf1_01_107	alitalia two six two bonjour squawk five seven three six 						en	
xxx-id	gf1_01_147	bonjour speedbird eight three papa xray squawk ah five seven four six 						en	
xxx-id	gf1_01_194	<FL> </FL> 						en	
xxx-id	gf1_01_003	cross air five one two bonjour identified cleared kines st prex willisau flight level three zero zero 						en	
xxx-id	gf1_01_034	speedbird five six three contact geneva on one two eight one five good bye 						en	
xxx-id	gf1_01_170	<FL> </FL> 						en	
xxx-id	gf1_01_204	<FL> </FL> 						en	
xxx-id	gf1_01_039	cross air six eight zero set course direct to bilsa 						en	
xxx-id	gf1_01_124	roger turn right heading two three five due traffic 						en	
xxx-id	gf1_01_226	roger contact geneva one two eight one five good bye 						en	
xxx-id	gf1_01_210	<FL> </FL> 						en	
xxx-id	gf1_01_153	cross air two six nine zero climb to flight level three one zero own navigation tour du pin 						en	
xxx-id	gf1_01_160	<FL> </FL> 						en	
xxx-id	gf1_01_167	alitalia two six two contact reims on one three two two seven good bye 						en	
xxx-id	gf1_01_110	<FL> </FL> 						en	
xxx-id	gf1_01_151	<FL> </FL> 						en	
xxx-id	gf1_01_115	<FL> </FL> 						en	
xxx-id	gf1_01_231	iberia three four seven three climb to flight level three five zero 						en	
xxx-id	gf1_01_209	air inter sierra oscar marseille one two five eight five good bye 						en	
xxx-id	gf1_01_036	saudia one five five bonjour squawk five seven four three 						en	
xxx-id	gf1_01_143	<FL> </FL> 						en	
xxx-id	gf1_01_215	sunwing five two zero three climb to flight level three six zero 						en	
xxx-id	gf1_01_181	<FL> </FL> 						en	
xxx-id	gf1_01_067	belgian airforce ah three three four set course direct to arbos 						en	
xxx-id	gf1_01_072	ascot nine three one nine identified cleared ah st prex rolampont flight level three two zero 						en	
xxx-id	gf1_01_146	iberia three four two two zurich one three four six good bye 						en	
xxx-id	gf1_01_103	ukay six two five ah bonjour descend to flight level two seven zero 						en	
xxx-id	gf1_01_155	hamburg air two five four six own navigation tour du pin cli= contact marseille one two five eight five 						en	
xxx-id	gf1_01_205	november one four five whiskey ah thank you contact ah geneva one two eight one five good bye 						en	
xxx-id	gf1_01_126	cross air two six nine zero report heading 						en	
xxx-id	gf1_01_046	<FL> </FL> 						en	
xxx-id	gf1_01_022	speedbird five eight zero bonjour identified call you back for lower 						en	
xxx-id	gf1_01_074	cross air six eight zero contact marseille one two five decimal eight five good bye 						en	
xxx-id	gf1_01_159	roger contact ah <FL> </FL> 						en	
xxx-id	gf1_01_156	german air force four nine zero one 						en	
xxx-id	gf1_01_097	nine seven own navigation to epinal 						en	
xxx-id	gf1_01_178	~l ~t ~u seven seven five six ah geneva one two eight one five good bye 						en	
xxx-id	gf1_01_201	<FL> </FL> 						en	
xxx-id	gf1_01_175	<FL> </FL> 						en	
xxx-id	gf1_01_062	topswiss four five seven eight contact marseille one two five decimal eight five good bye 						en	
xxx-id	gf1_01_080	alitalia three zero zero contact reims one three three eight two good bye 						en	
xxx-id	gf1_01_038	cross air five one two descend to flight level two eight zero 						en	
xxx-id	gf1_01_211	<FL> </FL> break alitalia three seven zero report mach number 						en	
xxx-id	gf1_01_183	november one four five whiskey bonjour squawk five seven seven three climb to flight level ah three four zero 						en	
xxx-id	gf1_01_012	<FL> </FL> 						en	
xxx-id	gf1_01_200	negative maintain three two zero 						en	
xxx-id	gf1_01_073	alitalia three zero one contact milano one two five decimal eight five good bye 						en	
xxx-id	gf1_01_055	lufthansa four seven three one zurich one three four six good bye 						en	
xxx-id	gf1_01_083	viva nine zero eight one resume own navigation to willisau 						en	
xxx-id	gf1_01_220	transwede one zero seven marseille one two five eight five good bye 						en	
xxx-id	gf1_01_129	<FL> </FL> 						en	
xxx-id	gf1_01_217	iberia three four seven three bonjour identified climb to flight level ah three three zero st prex passe= ah passeiry tour du pin 						en	
xxx-id	gf1_01_141	ukay six two five milano on one two five eight five good bye 						en	
xxx-id	gf1_01_144	cross air two six nine zero climb to flight level three zero zero 						en	
xxx-id	gf1_01_120	<FL> </FL> 						en	
xxx-id	gf1_01_081	<FL> </FL> 						en	
xxx-id	gf1_01_177	<FL> </FL> 						en	
xxx-id	gf1_01_001	[FRAGMENT] contact geneva one two eight decimal one five good bye 						en	
xxx-id	gf1_01_133	<FL> </FL> 						en	
xxx-id	gf1_01_026	alitalia three zero one descend to flight level ah three zero zero due traffic 						en	
xxx-id	gf1_01_063	and topswiss four five seven eight own navigation tour du pin 						en	
xxx-id	gf1_01_152	@jose four one two five bonjour descend to flight level two seven zero 						en	
xxx-id	gf1_01_013	cross air six eight zero bonjour identified cleared ah passeiry bilsa climb to flight level two nine zero 						en	
xxx-id	gf1_01_085	lufthansa eight two six eight bonjour identified passeiry tour du pin flight level three three zero 						en	
xxx-id	gf1_01_238	<OT> merci </OT> 						en	
xxx-id	gf1_01_076	iberia three four two two bonjour identified kines st prex willisau flight level three four zero 						en	
xxx-id	gf1_01_164	~l ~t ~u seven seven five six climb to flight level three five zero 						en	
xxx-id	gf1_01_148	air portugal four one one three report position 						en	
xxx-id	gf1_01_134	<FL> </FL> 						en	
xxx-id	gf1_01_045	alitalia two three four bonjour squawk five seven seven five 						en	
xxx-id	gf1_01_060	europa three eight one ah bonjour identified cleared kines st prex willisau flight level three four zero 						en	
xxx-id	gf1_01_037	transavia three two five six contact ah reims one three four decimal four good bye 						en	
xxx-id	gf1_01_048	roger and re= report your heading 						en	
xxx-id	gf1_01_221	sabena nine five nine marseille one two five eight five good bye 						en	
xxx-id	gf1_01_024	topswiss four five seven eight turn left two zero degrees 						en	
xxx-id	gf1_01_131	iberia three four two two own navigation to willisau 						en	
xxx-id	gf1_01_185	alitalia three seven zer= three seven zero bonjour squawk five seven four zero 						en	
xxx-id	gf1_01_180	<FL> </FL> 						en	
xxx-id	gf1_01_004	bonjour luxair five five one identified cleared passeiry torino flight level three three zero 						en	
xxx-id	gf1_01_016	alitalia three zero zero squawk five seven six three 						en	
xxx-id	gf1_01_184	<FL> </FL> 						en	
xxx-id	gf1_01_061	foxtrot golf india foxtrot lima bonjour identified cleared ah passeiry torino flight level three one zero 						en	
xxx-id	gf1_01_118	roger turn right heading zero two zero 						en	
xxx-id	gf1_01_224	luxair two six six three climb to flight level three five zero 						en	
xxx-id	gf1_01_219	alitalia three one seven milano one two five eight five good bye 						en	
xxx-id	gf1_01_008	topswiss four five seven eight climb to flight level three one zero 						en	
xxx-id	gf1_01_028	bonjour viva nine zero eight one identified cleared ah kines st prex willisau flight level three four zero 						en	
xxx-id	gf1_01_157	ah station calling say again callsign 						en	
xxx-id	gf1_01_088	lufthansa eight two six eight continue present heading climb to flight level three six zero 						en	
xxx-id	gf1_01_094	portugal four one one three bonjour i'll call you back 						en	
xxx-id	gf1_01_015	bonjour alitalia three zero one identified cleared passeiry torino flight level three three zero 						en	
xxx-id	gf1_01_172	<FL> </FL> 						en	
xxx-id	gf1_01_213	speedbird eight three papa xray reims one three two two seven good bye 						en	
xxx-id	gf1_01_027	<FL> </FL> 						en	
xxx-id	gf1_01_114	ascot nine three one nine contact now reims one three two two seven good bye 						en	
xxx-id	gf1_01_032	aero lloyd five one seven set course direct to st prex 						en	
xxx-id	gf1_01_195	<FL> </FL> 						en	
xxx-id	gf1_01_206	luxair two six six three bonjour identified cleared ah passeiry tour du pin flight level two nine zero 						en	
xxx-id	gf1_01_138	bonjour ~l ~t ~u seven seven five six call you back break air portugal four one one three climb to flight level three six zero 						en	
xxx-id	gf1_01_208	europa three six one ah zurich on one three four six good bye 						en	
xxx-id	gf1_01_050	alitalia two three four identified cleared aosta st prex rolampont climb to flight level three zero zero 						en	
xxx-id	gf1_01_197	transwede one zero seven set course direct to bilsa 						en	
xxx-id	gf1_01_222	luxair two six six three climb to flight level three three zero 						en	
xxx-id	gf1_01_171	<FL> </FL> 						en	
xxx-id	gf1_01_089	ascot nine three one nine set course direct to rolampont 						en	
xxx-id	gf1_01_059	belgian airforce ah three three four bonjour identified cleared ah passeiry epinal flight level three two zero 						en	
xxx-id	gf1_01_021	alitalia three zero zero identified aosta st prex dijon climb to flight level three zero zero 						en	
xxx-id	gf1_01_023	speedbird five six three identified cleared aosta st prex rolampont climb to flight level three six zero 						en	
xxx-id	gf1_01_092	air portugal ah four one one three report level 						en	
xxx-id	gf1_01_232	luxair two six six three geneva one two eight one five good bye 						en	
xxx-id	gf1_01_070	viva nine zero eight one turn further left heading ah s= heading three four zero 						en	
xxx-id	gf1_01_041	<FL> </FL> 						en	
xxx-id	gf1_01_158	and report your position 						en	
xxx-id	gf1_01_030	<FL> </FL> 						en	
xxx-id	gf1_01_113	alitalia two three four reims one three two two seven good bye 						en	
xxx-id	gf1_01_149	portugal four one one three contact zurich one three four six good bye 						en	
xxx-id	gf1_01_150	<FL> </FL> 						en	
xxx-id	gf1_01_196	lufthansa four six five two climb to flight level three three zero 						en	
xxx-id	gf1_01_109	<FL> </FL> 						en	
xxx-id	gf1_01_154	two six nine zero contact ah marseille one two five eight five good bye 						en	
xxx-id	gf1_01_182	<FL> </FL> 						en	
xxx-id	gf1_01_056	alitalia three zero one descend to flight level two seven zero 						en	
xxx-id	gf1_01_071	aero lloyd ah five one seven climb to flight level three three zero 						en	
xxx-id	gf1_01_193	<FL> </FL> 						en	
xxx-id	gf1_01_053	alitalia two zero one contact milano one two five decimal eight five good bye 						en	
xxx-id	gf1_01_002	swissair six six zero romeo contact marseille one two five decimal eight five good bye 						en	
xxx-id	gf1_01_234	alitalia three seven zero reims one three three eight two good bye 						en	
xxx-id	gf1_01_057	alitalia three zero one milano one two five eight five good bye 						en	
xxx-id	gf1_01_106	<FL> </FL> 						en	
xxx-id	gf1_01_006	<FL> </FL> 						en	
xxx-id	gf1_01_225	sunwing five two zero three report position 						en	
xxx-id	gf1_01_086	bonjour i'll call you back break aero lloyd five one seven descend to flight level three two zero 						en	
xxx-id	sm2_06_075	adria one six two seven is identified 						en	
xxx-id	sm2_06_085	thank you 						en	
xxx-id	sm2_06_076	belgian airforce one four four non ~r ~v ~s ~m identified 						en	
xxx-id	sm2_06_167	aha 						en	
xxx-id	sm2_06_065	delta india mike mike echo is identified fly heading one seven zero climb flight level two seven zero 						en	
xxx-id	sm2_06_146	nato one zero contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_021	lufthansa four thousand seven hundred is identified climb flight level two nine zero 						en	
xxx-id	sm2_06_081	tarom three seven four report your heading 						en	
xxx-id	sm2_06_006	swissair nine three six zero turn right direct to gotil 						en	
xxx-id	sm2_06_054	lufthansa five two three six likewise rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_022	speedbird one two nine is identified 						en	
xxx-id	sm2_06_210	alitalia three six nine contact zurich one three four decimal six 						en	
xxx-id	sm2_06_114	alitalia two nine one turn right to trasadingen 						en	
xxx-id	sm2_06_157	delta november alfa climb to flight level two nine zero 						en	
xxx-id	sm2_06_029	lufthansa five two three six is identified proceed direct to november tango mike 						en	
xxx-id	sm2_06_213	aero lloyd five six two contact zurich one three four decimal six 						en	
xxx-id	sm2_06_208	sunwing five two one two contact zurich one three four six 						en	
xxx-id	sm2_06_205	lufthansa four five eight two fly heading two one zero 						en	
xxx-id	sm2_06_061	alitalia six four seven four contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_171	alitalia four six nine is identified 						en	
xxx-id	sm2_06_166	is algerie two zero seven three on frequency 						en	
xxx-id	sm2_06_056	affirm 						en	
xxx-id	sm2_06_214	lufthansa four five eight two climb to flight level three hundred 						en	
xxx-id	sm2_06_069	alitalia one five zero is identified report your heading 						en	
xxx-id	sm2_06_082	ah tarom three seven four for separation turn left heading one zero five 						en	
xxx-id	sm2_06_169	algerie two zero seven three is identified fly heading two zero five climb flight level two seven zero 						en	
xxx-id	sm2_06_018	and negative that was for swissair eight zero six 						en	
xxx-id	sm2_06_136	negative one three two decimal four 						en	
xxx-id	sm2_06_008	<OT> tango india lima </OT> 						en	
xxx-id	sm2_06_168	merair six nine four four contact now zurich one three four decimal six 						en	
xxx-id	sm2_06_176	lufthansa four two one nine turn left to delta kilo bravo 						en	
xxx-id	sm2_06_191	alitalia three six nine report your rate of descent 						en	
xxx-id	sm2_06_134	ah okay 						en	
xxx-id	sm2_06_066	lufthansa four two zero nine continue descent ah disregard i'll call you back for further descent in a minute 						en	
xxx-id	sm2_06_106	malaysian four is in radar contact 						en	
xxx-id	sm2_06_103	egyptair eight eight four is identified 						en	
xxx-id	sm2_06_088	alitalia two nine one turn right heading one four five 						en	
xxx-id	sm2_06_078	cross air eight five eight is identified 						en	
xxx-id	sm2_06_194	lufthansa three five zero eight climb now flight level two nine zero 						en	
xxx-id	sm2_06_120	merair six nine five two contact zurich one three four decimal six 						en	
xxx-id	sm2_06_020	alitalia six four seven four is identified 						en	
xxx-id	sm2_06_028	good afternoon golf bravo victor juliett india identified 						en	
xxx-id	sm2_06_140	alitalia two nine one contact zurich radar one three four decimal six 						en	
xxx-id	sm2_06_084	@aerovic one zero six one is identified non ~r ~v ~s ~m report your mach number 						en	
xxx-id	sm2_06_074	[EMPTY] 						en	
xxx-id	sm2_06_206	lufthansa four two one nine contact rhein one three two decimal four 						en	
xxx-id	sm2_06_135	okay we have to do it a little faster lufthansa five two one seven contact rhein radar one three two decimal four 						en	
xxx-id	sm2_06_131	alitalia one five zero own navigation to november tango mike 						en	
xxx-id	sm2_06_041	hapag lloyd one one two contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_043	lufthansa four two zero nine is identified 						en	
xxx-id	sm2_06_108	cross air eight five eight contact rhein one two seven decimal three seven 						en	
xxx-id	sm2_06_087	roger alitalia two nine one and report your heading 						en	
xxx-id	sm2_06_142	swissair nine three five nine descend to flight level three four zero expedite descent 						en	
xxx-id	sm2_06_067	ah four two zero nine descend to level three three zero 						en	
xxx-id	sm2_06_092	roger break delta mike echo fly heading one nine zero 						en	
xxx-id	sm2_06_160	thank you 						en	
xxx-id	sm2_06_086	alitalia two nine one is identified report your mach number 						en	
xxx-id	sm2_06_004	hapag lloyd one one two is identified good afternoon 						en	
xxx-id	sm2_06_190	negative lufthansa three five zero eight heading one nine five 						en	
xxx-id	sm2_06_156	delta november alfa fly heading one nine five 						en	
xxx-id	sm2_06_026	~k ~l ~m three four six turn left ten degrees heading three four five 						en	
xxx-id	sm2_06_165	lufthansa four two one nine is identified 						en	
xxx-id	sm2_06_129	alitalia three six nine is identified good afternoon 						en	
xxx-id	sm2_06_036	lufthansa three six zero four zurich one three four decimal six good bye 						en	
xxx-id	sm2_06_121	alitalia one three five is identified 						en	
xxx-id	sm2_06_211	algerie two zero seven three contact zurich one three four decimal six 						en	
xxx-id	sm2_06_044	bee med one is identified good afternoon 						en	
xxx-id	sm2_06_145	delta mike echo contact zurich one three four decimal six 						en	
xxx-id	sm2_06_073	bee med one contact rhein radar one three two decimal four 						en	
xxx-id	sm2_06_119	delta charlie india november alfa is identified fly heading one seven zero climb flight level two seven zero 						en	
xxx-id	sm2_06_057	lufthansa three five five zero continue climb to flight level two nine zero 						en	
xxx-id	sm2_06_003	lufthansa three five six six is identified climb flight level two nine zero 						en	
xxx-id	sm2_06_068	affirm lufthansa four two zero nine 						en	
xxx-id	sm2_06_151	delta india bravo echo charlie is identified 						en	
xxx-id	sm2_06_173	lufthansa three three three zero is identified 						en	
xxx-id	sm2_06_016	air berlin five two five five contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_113	thank you 						en	
xxx-id	sm2_06_027	britannia three two seven alfa proceed to kempten 						en	
xxx-id	sm2_06_097	adria one six two seven contact rhein radar one three two decimal four 						en	
xxx-id	sm2_06_005	swissair nine three six zero is identified 						en	
xxx-id	sm2_06_149	yes eight eight four to frequency one three two decimal four please 						en	
xxx-id	sm2_06_094	tarom three seven four turn further left heading zero nine five 						en	
xxx-id	sm2_06_124	roger fly heading two hundred 						en	
xxx-id	sm2_06_152	malaysian four contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_209	sunwing five two one four zurich one three three four 						en	
xxx-id	sm2_06_126	alitalia one five zero turn left to november tango mike 						en	
xxx-id	sm2_06_049	saudia one zero six contact rhein radar one three two decimal four 						en	
xxx-id	sm2_06_050	air berlin five zero seven three is identified however you have been sent to the wrong frequency come up rhein radar one three two decimal four 						en	
xxx-id	sm2_06_183	[EMPTY] 						en	
xxx-id	sm2_06_187	lufthansa triple three zero climb to flight level two seven zero 						en	
xxx-id	sm2_06_159	alitalia one three five report your mach number 						en	
xxx-id	sm2_06_083	[EMPTY] 						en	
xxx-id	sm2_06_042	golf juliett india turn right to herbi 						en	
xxx-id	sm2_06_091	merair six nine five two report your heading 						en	
xxx-id	sm2_06_058	lufthansa five five zero four good afternoon identified 						en	
xxx-id	sm2_06_047	golf juliett india proceed now to trasadingen 						en	
xxx-id	sm2_06_007	<OT> yes and then you have the possibility to enter into the computer gotil golf oscar tango india lima i think </OT> 						en	
xxx-id	sm2_06_163	aero lloyd five six two is identified climb to flight level two seven zero 						en	
xxx-id	sm2_06_060	sabena eight three six identified 						en	
xxx-id	sm2_06_193	alitalia three six nine i need a rate of descent of two thousand feet per minute or more 						en	
xxx-id	sm2_06_025	~k ~l ~m three four six is identified report your heading 						en	
xxx-id	sm2_06_200	alitalia one three five contact i talk alitalia one three five contact zurich one three four decimal six 						en	
xxx-id	sm2_06_201	lufthansa three five zero eight continue climb to flight level three hundred 						en	
xxx-id	sm2_06_203	roger break lufthansa three three three zero fly heading two zero eight 						en	
xxx-id	sm2_06_181	alitalia three six nine descend now to flight level two nine zero expedite descent 						en	
xxx-id	sm2_06_070	alitalia one five zero turn left heading three four five 						en	
xxx-id	sm2_06_127	alitalia one five zero i say again turn left to november tango mike 						en	
xxx-id	sm2_06_079	merair six nine five two is identified proceed to trasadingen climb to flight level two five zero 						en	
xxx-id	sm2_06_105	nato one zero is identified 						en	
xxx-id	sm2_06_019	swissair nine three six zero climb now to flight level three two zero 						en	
xxx-id	sm2_06_010	tarom three seven two contact rhein radar one three two decimal four 						en	
xxx-id	sm2_06_164	scandinavian six eight seven is identified 						en	
xxx-id	sm2_06_001	lufthansa four four zero eight call zurich one three four decimal six 						en	
xxx-id	sm2_06_055	[EMPTY] 						en	
xxx-id	sm2_06_139	tunair four eight zero two is identified 						en	
xxx-id	sm2_06_011	lufthansa three six zero four is identified climb to flight level three hundred 						en	
xxx-id	sm2_06_143	and nine three five nine as i said expedite descent 						en	
xxx-id	sm2_06_192	alitalia three six nine as i said expedite descent 						en	
xxx-id	sm2_06_186	that is lufthansa four five eight two 						en	
xxx-id	sm2_06_053	~k ~l ~m three four six contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_180	no it is hotel oscar charlie 						en	
xxx-id	sm2_06_150	[EMPTY] 						en	
xxx-id	sm2_06_100	merair six nine four four is identified 						en	
xxx-id	sm2_06_037	~k ~l ~m three four six climb to flight level three two zero 						en	
xxx-id	sm2_06_059	lufthansa four two zero nine turn left to delta kilo bravo 						en	
xxx-id	sm2_06_013	britannia three two seven alfa radar contact good afternoon 						en	
xxx-id	sm2_06_189	[EMPTY] 						en	
xxx-id	sm2_06_096	tarom three seven four climb to flight level three four zero 						en	
xxx-id	sm2_06_162	delta echo charlie turn left to delta kilo bravo 						en	
xxx-id	sm2_06_116	@aerovic one zero six one maintain your speed decimal seven five or less 						en	
xxx-id	sm2_06_179	aero lloyd five six two proceed to hotel oscar charlie afterwards st prex flight planned route 						en	
xxx-id	sm2_06_117	britannia three zero six alfa contact rhein radar one three two decimal four 						en	
xxx-id	sm2_06_101	tarom three seven four is clear of traffic turn now right to tango golf oscar 						en	
xxx-id	sm2_06_197	aero lloyd five six two climb to flight level three three zero 						en	
xxx-id	sm2_06_155	gulf air five contact rhein radar one two seven decimal three seven 						en	
xxx-id	sm2_06_128	ah alitalia one five zero make it heading three one five 						en	
xxx-id	sm2_06_198	delta echo charlie descend to flight level three four zero 						en	
